article_index;author;year;trl;sensor;algorithm;autonomy;autonomy_min;autonomy_max;autonomy_mean;realtime;Country;Type
1;priya;2024;3;RGB + IR;YOLO;;;;;1;India;laboratory simulation
2;sandino;2022;7;RGB + IR;YOLO;12;12;12;12;1;Australia;prototype field test
3;schedl;2021;7;IR;YOLO;15-20;15;20;17,5;1;Austria;prototype field test
4;scherer;2015;6;RGB;classical computer vision;10;10;10;10;1;Austria;prototype field test
5;silvagni;2017;7;RGB + IR;beacon;12;12;12;12;1;Italy;prototype field test
6;tusnio;2021;6;RGB + IR;deep learning;"25-38;18-25";18;38;26,5;1;Poland;prototype field test
7;van veelan;2023;7;RGB;manual;;;;;1;Italy, Austria, Switzerland;prototype field test
8;weldon;2020;5;RGB;classical computer vision;;;;;0;USA;field test of existing software
9;yeom;2024;6;IR;YOLO;;;;;1;Sounth Korea;prototype field test
10;giitsidis;2015;4;RGB + IR;classical computer vision;;;;;0;Greece;feasibility study
11;jamjoum;2003;6;RGB + IR;manual;;;;;1;Jordan, Qatar, UAE;prototype field test
12;kim;2021;4;RGB + LiDAR;deep learning;;;;;1;South Korea;laboratory simulation
13;levin;2016;6;RGB + IR;classical computer vision;;;;;1;Poland, USA;prototype field test
14;liu;2022;6;RGB + multispectral;YOLO;30;30;30;30;1;Hungary;prototype field test
15;lygouras;2019;7;RGB;YOLO;25;25;25;25;1;Greece;prototype field test
16;mantau;2022;4;RGB + IR;YOLO;;;;;0;Japan, Taiwan;laboratory simulation
17;niedzielski;2021;9;RGB + IR;deep learning;;;;;0;Poland;case study
